Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,789,1518,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,789,993,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,789,993,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,789,28581,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,789,4199,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Female-Only,789,5621,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,789,14592,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,909,1371,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,909,2040,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,909,1709,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,909,1709,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,909,1210,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,909,1951,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,909,47002,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,909,10192,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,SC,Female-Only,909,14737,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,909,30547,3,Maharashtra
PICT,"Artificial Intelligence (AI) and Data Science (4 Years, Bachelor of Technology)",HS,ST,Female-Only,909,78927,3,Maharashtra
PICT,"Electronics and Telecommunication Engg (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,1332,2515,3,Maharashtra
PICT,"Electronics and Telecommunication Engg (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,1332,2587,3,Maharashtra
PICT,"Electronics and Telecommunication Engg (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1332,4095,3,Maharashtra
PICT,"Electronics and Telecommunication Engg (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,1332,4095,3,Maharashtra
PICT,"Electronics and Telecommunication Engg (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,1332,2321,3,Maharashtra
